0	0	12	11	59	48	49	1	6	0
1	0	13	12	0	49	2	14	7	9
2	0	14	1	49	50	51	3	6	16
3	0	15	14	2	51	4	16	7	22
4	0	16	3	51	52	53	5	6	25
5	0	17	16	4	53	6	18	7	29
6	0	18	5	53	54	55	7	6	27
7	0	19	18	6	55	8	20	7	29
8	0	20	7	55	56	57	9	6	24
9	0	21	20	8	57	10	22	6	21
10	0	22	9	57	58	59	11	7	23
11	0	23	22	10	59	0	12	6	32
0	1	24	23	11	0	1	13	7	26
1	1	25	24	12	1	14	26	6	35
2	1	26	13	1	2	3	15	7	35
3	1	27	26	14	3	16	28	6	36
4	1	28	15	3	4	5	17	7	31
5	1	29	28	16	5	18	30	6	40
6	1	30	17	5	6	7	19	6	29
7	1	31	30	18	7	20	32	7	38
8	1	32	19	7	8	9	21	6	36
9	1	33	32	20	9	22	34	7	35
10	1	34	21	9	10	11	23	6	42
11	1	35	34	22	11	12	24	7	51
0	2	36	35	23	12	13	25	6	37
1	2	37	36	24	13	26	38	7	41
2	2	38	25	13	14	15	27	6	48
3	2	39	38	26	15	28	40	6	45
4	2	40	27	15	16	17	29	4	40
5	2	41	40	28	17	30	42	6	50
6	2	42	29	17	18	19	31	7	43
7	2	43	42	30	19	32	44	6	52
8	2	44	31	19	20	21	33	7	47
9	2	45	44	32	21	34	46	6	53
10	2	46	33	21	22	23	35	7	60
11	2	47	46	34	23	24	36	6	57
0	3	48	47	35	24	25	37	6	42
1	3	49	48	36	25	38	50	7	51
2	3	50	37	25	26	27	39	6	58
3	3	51	50	38	27	40	52	7	64
4	3	52	39	27	28	29	41	6	54
5	3	53	52	40	29	42	54	7	63
6	3	54	41	29	30	31	43	6	56
7	3	55	54	42	31	44	56	7	63
8	3	56	43	31	32	33	45	6	66
9	3	57	56	44	33	46	58	6	58
10	3	58	45	33	34	35	47	7	65
11	3	59	58	46	35	36	48	6	74
0	4	0	59	47	36	37	49	7	60
1	4	1	0	48	37	50	2	6	62
2	4	2	49	37	38	39	51	7	64
3	4	3	2	50	39	52	4	6	70
4	4	4	51	39	40	41	53	7	73
5	4	5	4	52	41	54	6	6	82
6	4	6	53	41	42	43	55	6	71
7	4	7	6	54	43	56	8	7	75
8	4	8	55	43	44	45	57	6	63
9	4	9	8	56	45	58	10	7	69
10	4	10	57	45	46	47	59	6	76
11	4	11	10	58	47	48	0	7	85
#spec 2.0
#tabs separate values
#hashes denote comments
#
#X	Y	CS	CSW	CNW	CN	CNE	CSE	SHP	ROT
